Date	Time	S1 [°]	S2 [°]	L1 contact [mm]	L2 contact [mm]	L3 contact [mm]	L4 contact [mm]	Loading1 [N]	Loading2 [N]	Loading3 [N]	Loading4 [N]
14.05.2019	11:10:17.3	0.01	0.04	0.00	0.00	0.00	0.00	-0.22	-0.16	0.05	-0.20
14.05.2019	11:10:17.8	0.01	0.04	0.00	0.00	0.00	0.00	0.10	0.01	0.03	-0.07
14.05.2019	11:10:17.9	0.02	0.04	0.00	0.00	0.00	0.00	0.02	-0.10	-0.02	-0.02
14.05.2019	11:10:18.0	0.01	0.04	0.00	0.00	0.00	0.00	0.03	-0.27	-0.18	0.05
14.05.2019	11:10:18.1	0.01	0.04	0.00	0.00	0.00	0.00	0.10	0.10	0.12	-0.05
14.05.2019	11:10:18.2	0.01	0.04	0.00	0.00	0.00	0.00	-0.04	-0.02	-0.07	-0.09
14.05.2019	11:10:18.3	0.01	0.04	0.00	0.00	0.00	0.00	-0.02	0.06	0.25	-0.03
14.05.2019	11:10:18.4	0.01	0.04	0.00	0.00	0.00	0.00	-0.01	0.00	-0.05	-0.01
14.05.2019	11:10:18.5	0.01	0.04	0.00	0.00	0.00	0.00	-0.01	-0.02	0.01	0.03
14.05.2019	11:10:18.6	0.01	0.04	0.00	0.00	0.00	0.00	0.09	-0.12	0.08	-0.05
14.05.2019	11:10:18.7	0.01	0.04	0.00	0.00	0.00	0.00	-0.02	-0.01	-0.14	0.06
14.05.2019	11:10:18.8	0.01	0.04	0.00	0.00	0.00	0.00	-0.11	-0.03	0.07	0.05
14.05.2019	11:10:18.9	0.01	0.04	0.00	0.00	0.00	0.00	-0.01	0.00	0.09	-0.12
14.05.2019	11:10:19.0	0.02	0.04	0.00	0.00	0.00	0.00	-0.05	-0.03	0.02	-0.11
14.05.2019	11:10:19.1	0.02	0.04	0.00	0.00	0.00	0.00	-0.11	-0.07	0.05	-0.01
14.05.2019	11:10:19.2	0.02	0.04	0.00	0.00	0.00	0.00	-0.08	0.05	-0.04	-0.01
14.05.2019	11:10:19.3	0.01	0.04	0.00	0.00	0.00	0.00	0.13	0.20	0.05	-0.04
14.05.2019	11:10:19.4	0.01	0.04	0.00	0.00	0.00	0.00	0.22	-0.14	0.09	0.14
14.05.2019	11:10:19.6	0.01	0.04	0.00	0.00	0.00	0.00	-0.27	0.04	0.07	0.10
